EPC category,EPC type,Construction year,Renovation year,Number of floors,Floor area,Number of basements,Number of stairwells,Number of apartments,Exhaust,Balanced,Balanced with heat exchanger,Exhaust with heat pump,Natural ventilation,Pipe insulation,Door/windows insulation,Cement panel board,Tile/clinker,Carpet glue,Floor mat,Ventilation channel,Gbg
Premise building,Detached,1982.0,,8.0,,,,,,,,,,,,,,,,,0
Premise building,Detached,1946.0,1972.0,7.0,,,,,,,,,,1.0,,1.0,,,,,0
Premise building,Detached,1980.0,2000.0,,,,,,,,,,,,,,,,,,0
Premise building,Gable,1963.0,,8.0,5399,2.0,2.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.0,,0
Premise building,Detached,1964.0,,,9468,1.0,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,0
Premise building,Detached,1966.0,2002.0,5.0,11250,1.0,,,0.0,1.0,1.0,0.0,0.0,1.0,,0.0,,0.0,,,0
Premise building,Detached,1978.0,,7.0,37940,1.0,,,1.0,1.0,1.0,0.0,0.0,,,,,,,,0
Premise building,Detached,1976.0,2004.0,2.0,2005,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,,,,0
Premise building,Intermediate,1980.0,2004.0,10.0,8625,1.0,,,0.0,0.0,1.0,0.0,0.0,,,1.0,,,1.0,0.0,0
Premise building,Detached,1970.0,1989.0,8.0, 11104,1.0,,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,1.0,1.0,,0
Premise building,Intermediate,1937.0,,9.0,7899,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,0
Premise building,Gable,1976.0,,12.0,40568,0.0,,,,,,,,,,1.0,0.0,,0.0,0.0,0
Premise building,Intermediate,1980.0,2004.0,14.0,29963,1.0,,,0.0,0.0,1.0,0.0,0.0,,,1.0,0.0,0.0,1.0,0.0,0
Premise building,Intermediate,1934.0,2012.0,10.0,4439,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,0
Premise building,Intermediate,1910.0,2005.0,9.0,2822,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,0
Premise building,Detached,1968.0,1984.0,4.0, 15050,1.0,,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,,0
Premise building,Detached,1985.0,1997.0,, 2950,1.0,2.0,,,,,,,,,,,,0.0,0.0,0
Premise building,Gable,1983.0,2003.0,5.0,3112,3.0,3.0,,1.0,0.0,1.0,0.0,0.0,,,1.0,0.0,0.0,0.0,,0
Premise building,Detached,1960.0,2006.0,4.0,10688,2.0,3.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0,1.0,1.0,0.0,0
Premise building,Detached,1965.0,,,347,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0
Premise building,Detached,1980.0,,1.0,210,,,,,,,,,1.0,1.0,,,,,,0
Premise building,Detached,1968.0,,5.0,21000,,,,,,,,,1.0,,1.0,1.0,0.0,1.0,,0
Premise building,Gable,1905.0,2013.0,8.0,7491,1.0,3.0,,1.0,1.0,1.0,0.0,0.0,,1.0,,,,,,0
Premise building,Gable,1969.0,1997.0,8.0, 10192,3.0,1.0,,0.0,0.0,1.0,1.0,0.0,,,,,,,0.0,0
Premise building,Detached,1972.0,2000.0,10.0,5431,1.0,2.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,,0
Premise building,Intermediate,1962.0,2008.0,8.0,4154,1.0,1.0,,0.0,1.0,1.0,0.0,0.0,1.0,,,,,1.0,0.0,0
Premise building,Detached,1971.0,1989.0,1.0,1470,,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,0
Premise building,Detached,1983.0,,11.0,48305,3.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,1.0,,0.0,0
Premise building,Intermediate,1979.0,1997.0,4.0, 1798,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,0
Premise building,Intermediate,1929.0,,6.0,4685,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,0
Premise building,Detached,1964.0,1984.0,,9468,1.0,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,0
Premise building,Detached,1973.0,,6.0,13495,1.0,4.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,,0
Premise building,Intermediate,1902.0,2014.0,6.0,29301,1.0,7.0,,0.0,1.0,1.0,0.0,0.0,,,,,1.0,1.0,1.0,0
Premise building,Intermediate,1902.0,2014.0,6.0,29301,1.0,7.0,,0.0,1.0,1.0,0.0,0.0,,,,0.0,1.0,1.0,1.0,0
Premise building,Detached,1967.0,1995.0,2.0,,,,,,,,,,1.0,1.0,,1.0,,1.0,,0
Premise building,Intermediate,1931.0,,5.0, 1791,1.0,,,0.0,0.0,1.0,0.0,0.0,1.0,,,,1.0,1.0,0.0,0
Premise building,Intermediate,1944.0,,8.0,8474,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
Premise building,Unknown,1963.0,,9.0,,,,,,,,,,1.0,1.0,1.0,,1.0,,,0
Premise building,Detached,1978.0,2008.0,7.0,17495,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,,,,0.0,,0
Premise building,Unknown,1977.0,,5.0,8738,,2.0,0.0,,,,,,,,,0.0,0.0,0.0,,0
Premise building,Gable,1963.0,1998.0,15.0,9343,1.0,2.0,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,,0.0,,0
Premise building,Detached,1972.0,2016.0,7.0,7521,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,0
Premise building,Detached,1969.0,,4.0,15050,1.0,,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0
Premise building,Detached,1972.0,,6.0,31746,0.0,,,0.0,1.0,1.0,0.0,0.0,1.0,,1.0,1.0,0.0,1.0,0.0,0
Premise building,Detached,1978.0,2009.0,7.0,49602,3.0,,,0.0,1.0,0.0,0.0,0.0,,0.0,,,,,,0
Premise building,Detached,1960.0,2006.0,1.0,260,,1.0,,,,,,,,1.0,1.0,0.0,0.0,0.0,,0
Premise building,Detached,1959.0,2006.0,2.0,300,,1.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,,0
Premise building,Detached,1948.0,,21.0,7712,1.0,2.0,189.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,,0
Premise building,Detached,1955.0,,3.0,3017,1.0,,,0.0,0.0,1.0,0.0,0.0,,,1.0,0.0,,,0.0,0
Premise building,Detached,1979.0,,7.0,18037,0.0,2.0,,0.0,1.0,0.0,0.0,0.0,,,,0.0,,,,0
Premise building,Detached,1979.0,,7.0,18037,0.0,2.0,,0.0,1.0,0.0,0.0,0.0,,,,,,,,0
Premise building,Intermediate,1902.0,2014.0,6.0,29301,1.0,7.0,,0.0,1.0,1.0,0.0,0.0,,,,,,,,0
Premise building,Detached,1980.0,2015.0,5.0,25654,1.0,,,0.0,0.0,1.0,0.0,0.0,,,,,,0.0,,0
Premise building,Detached,1963.0,2009.0,15.0,18736,1.0,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0
Premise building,Detached,1949.0,2015.0,8.0,13076,2.0,,,1.0,0.0,1.0,0.0,0.0,,,,,,,,0
Premise building,Detached,1952.0,2011.0,6.0,9286,1.0,2.0,,1.0,0.0,1.0,0.0,0.0,,,,,,,,0
Premise building,Detached,1947.0,2006.0,1.0,231,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,0.0,0
Multifamily house,Detached,1965.0,1981.0,9.0,11425,2.0,3.0,30.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,,,1.0,1.0,,0
Premise building,Detached,1953.0,,1.0,676,0.0,12.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,1
Premise building,Detached,1953.0,,1.0,835,1.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,,0.0,,1
Premise building,Detached,1970.0,1998.0,2.0,7212,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,1
Premise building,Detached,1970.0,2006.0,4.0,21516,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,1.0,,,,,1
Premise building,Detached,1967.0,1999.0,1.0,785,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1
Premise building,Detached,1971.0,,1.0,468,0.0,,,1.0,0.0,0.0,0.0,0.0,,,1.0,,,,,1
Unknown,Detached,1969.0,,1.0,128,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
Premise building,Detached,1932.0,2000.0,5.0,9043,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Premise building,Unknown,1971.0,2008.0,1.0,471,,,,,,,,,1.0,0.0,1.0,0.0,,0.0,,1
Multifamily house,Detached,1970.0,2001.0,1.0,958,0.0,,,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,1.0,1
Premise building,Detached,1963.0,1999.0,1.0,2129,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1
Premise building,Detached,1945.0,,3.0,16326,,,,,,,,,1.0,,,1.0,,,,1
Premise building,Intermediate,1939.0,1994.0,5.0,4810,1.0,3.0,,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,,,1
Premise building,Detached,1974.0,1998.0,8.0,17117,1.0,4.0,,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,1
Premise building,Detached,1984.0,1993.0,1.0,13018,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1
Premise building,Detached,1967.0,,4.0,14306,2.0,,,,,,,,,,,,,,,1
Premise building,Detached,1934.0,2007.0,14.0,8640,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
Multifamily house,Detached,1971.0,2008.0,5.0,3317,3.0,3.0,27.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
Premise building,Detached,1970.0,1997.0,2.0,6239,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,,,,1.0,1
Premise building,Detached,1964.0,,1.0,359,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,1
Premise building,Unknown,1964.0,1980.0,2.0,,,0.0,,,,,,,0.0,1.0,,1.0,0.0,0.0,0.0,1
Premise building,Detached,1964.0,,1.0,343,1.0,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1
Premise building,Gable,1969.0,2003.0,1.0,2019,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1
Premise building,Detached,1971.0,,2.0,6639,0.0,,,1.0,1.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,1
Premise building,Detached,1954.0,,2.0,1130,1.0,2.0,,1.0,0.0,1.0,0.0,0.0,,,,0.0,,,1.0,1
Premise building,Detached,1968.0,,1.0,,,,,,,,,,,,,,,,,1
Premise building,Detached,1978.0,,1.0,903,0.0,,,,,,,,1.0,,,,,,,1
Premise building,Detached,1959.0,,,183063,1.0,,,,,,,,1.0,,,,,,,1
Premise building,Detached,1923.0,,,23580,1.0,,,,,,,,1.0,1.0,,0.0,0.0,0.0,,1
Premise building,Detached,1967.0,2004.0,5.0,13588,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,1
Premise building,Intermediate,1972.0,2001.0,7.0,45195,1.0,8.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,1
Premise building,Intermediate,1929.0,1945.0,4.0,967,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,1
Premise building,Gable,1965.0,,7.0,20851,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,1.0,0.0,1.0,1
Premise building,Detached,1957.0,1988.0,3.0,1500,,,,,,,,,1.0,1.0,,0.0,1.0,1.0,0.0,1
Premise building,Intermediate,1922.0,,7.0,4056,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,0.0,,,1
Premise building,Detached,1929.0,,2.0,,,,,,,,,,1.0,,1.0,0.0,,,1.0,0
Premise building,Detached,1970.0,,,8150,0.0,,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0
Premise building,Detached,1958.0,,3.0,2000,,,,,,,,,1.0,,1.0,0.0,1.0,1.0,1.0,0
Premise building,Detached,1959.0,,1.0,,,,,,,,,,1.0,,,0.0,1.0,,0.0,0
Premise building,Detached,1959.0,1995.0,2.0,5132,1.0,,,0.0,0.0,1.0,0.0,0.0,,,,0.0,,0.0,,0
Premise building,Intermediate,1909.0,1976.0,6.0,5419,2.0,2.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,0.0,,0.0,0.0,0
Premise building,Detached,1964.0,2007.0,8.0,17437,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,0
Premise building,Detached,1947.0,,8.0,33343,2.0,2.0,,0.0,0.0,1.0,0.0,0.0,,1.0,,,,,0.0,0
Premise building,Unknown,1981.0,,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0
Premise building,Detached,1970.0,,1.0,106,0.0,,,1.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0
Premise building,Gable,1952.0,1990.0,3.0,936,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,,,0.0,1.0,0.0,,0
Premise building,Detached,1921.0,2004.0,3.0,23453,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,,,,,1.0,1.0,,0
Premise building,Detached,1912.0,,3.0,3925,1.0,,,0.0,1.0,1.0,0.0,0.0,,,,0.0,,1.0,,0
Premise building,Detached,1912.0,1971.0,3.0,3925,1.0,,,0.0,1.0,1.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,0
Premise building,Gable,1970.0,,10.0,37871,3.0,,,0.0,0.0,1.0,0.0,0.0,,,1.0,,,,,0
Premise building,Detached,1902.0,,4.0, 4490,,,,,,,,,1.0,,,0.0,1.0,1.0,,0
Premise building,Detached,1963.0,2000.0,7.0,65478,3.0,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0
Premise building,Detached,1963.0,2000.0,10.0,65478,3.0,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0
Premise building,Detached,1963.0,2000.0,6.0,65478,3.0,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0
Premise building,Detached,1969.0,,3.0,3038,1.0,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,1.0,0.0,,,0
Premise building,Detached,1953.0,1988.0,2.0,767,1.0,,,0.0,0.0,1.0,0.0,0.0,1.0,,,,1.0,0.0,,0
Multifamily house,Intermediate,1962.0,1980.0,8.0,2561,1.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,,1.0,0.0,0
Premise building,Detached,1933.0,,3.0,1132,,,,,,,,,1.0,1.0,1.0,0.0,1.0,,0.0,0
Premise building,Detached,1965.0,,12.0,607,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0
Premise building,Detached,1964.0,1998.0,26.0,87000,3.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
Premise building,Detached,1937.0,2005.0,,2660,0.0,,,,,,,,1.0,,,,,,,0
Premise building,Detached,1954.0,2012.0,5.0,15861,2.0,,,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,0
Premise building,Detached,1912.0,,6.0,12770,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,0
Premise building,Detached,1950.0,2000.0,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Premise building,Gable,1961.0,2015.0,7.0,16470,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,0
Premise building,Detached,1906.0,1936.0,5.0,13716,,,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,,0
Premise building,Intermediate,1930.0,1990.0,8.0,11636,2.0,,,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,0
Premise building,Detached,1977.0,2000.0,1.0,30810,,2.0,0.0,,,,,,1.0,,,0.0,0.0,,,0
Premise building,Unknown,1964.0,1996.0,,30620,,,,,,,,,,1.0,,1.0,1.0,1.0,0.0,0
Premise building,Detached,1971.0,,4.0,4104,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,,0.0,,0
Premise building,Detached,1971.0,,4.0,4104,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Premise building,Gable,1960.0,2014.0,6.0,4712,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0
Premise building,Detached,1964.0,2015.0,26.0,87000,3.0,,0.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,0
Premise building,Gable,1925.0,2016.0,4.0,8283,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,0
Premise building,Detached,1988.0,1999.0,7.0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,0
Premise building,Detached,1940.0,,,600,,,,,,,,,1.0,1.0,1.0,0.0,,0.0,0.0,0
Multifamily house,Intermediate,1930.0,1988.0,7.0,3582,1.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,,,0.0,1.0,,0.0,0
